,alfa,cc
Ariads,2.051814862,1.158341515
Floped,0.053728902,0.387130629
Mickun,1.007279881,1.236383682
Planiv,3.296267211,1.723673569
Steeph,1.078001787,0.832645459
Tagmic,2.472286844,1.817693944
Thyaur,0.38206929,0.664241006
Boucho,2.430937341,1.99999994
Boupol,2.499121575,1.999999941
Hilcen,1.893550939,1.99999983
Aridiv,3.3807963897,1.4912396681
Bousco,2.2181422029,1.8505563495
Helfol,1.4657452263,1.9869864073
Muhrig,3.5689091897,1.9898281353
Muhpha,1.6523921073,2
Crudiv,0.772417015,0.723242069
Hetpin,1.993078763,1.044957504
Rictri,0.591176122,0.816816422
Bulten,4.158672447,1.292944184
Spoten,0.40113496,0.791853235
Tricor,0.45416991,0.655069976
Sanpro,0.034332165,0.389684803
Muhper,1.294453502,2
Dalser,1.6247482001,2
Porpil,0.016916636,0.375180905
Tripur,0.00000012,0.152350762
Eupmen,0.066383031,0.4021048
Trispi,0.347465698,0.619336592
Sedote,1.292156774,2
Helglo,1.340397752,1.999999892
Stedul,0.00000134,0.191833588
Pheoli,2.41E-009,0.126317979
Evoser,1.38764588,1.642875779
Bouhir,3.274142393,1.985125767
Milbif,1.685061632,2
Cypses,0.516519726,1.013053109
Oxalun,1.676183907,1.467234445
