,DD
Ariads,0.79869002
Aridiv,0.428552619
Bouhir,0.504248543
Bousco,0.416120088
Crudiv,1
Cypses,0.729744404
Dalhum,1
Eupmen,1
Evoser,0.653294272
Flopur,1
Helfol,0.427043333
Helglo,0.745152303
Hetpin,1
Mickun,0.676163493
Milbif,0.628591414
Muhper,1
Muhpha,0.317399854
Muhrig,0.282145299
Oxalun,0.80594719
Pheoli,0.79955769
Planiv,0.807687013
Porpil,0.932755251
Rictri,0.705431247
Sanpro,1
Sedote,0.338025672
Spoten,0.657161572
Stedul,0.524339612
Steeph,1
Tagmic,1
Thyaur,1
Tricor,0.913485998
Tripur,1
Trispi,0.65419481
Boucho,0.260240291
Boupol,0.232585211
Hilcen,0.54041447
